City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,maloye ganyushkino,46.6,49.2667,26.910000000000025,36,0,7.44,KZ,2024-08-28
197,malax,62.9423,21.5731,15.550000000000011,88,20,4.12,FI,2024-08-28
198,lompoc,34.6391,-120.4579,14.400000000000034,95,100,2.57,US,2024-08-28
199,champerico,14.3,-91.9167,26.57000000000005,85,88,2.79,GT,2024-08-28
200,jiashan,30.8492,120.9258,30.700000000000045,64,88,2.49,CN,2024-08-28
201,sandnessjoen,66.0217,12.6316,13.060000000000002,94,75,9.77,NO,2024-08-28
202,bhadasar,28.2833,74.3167,29.700000000000045,61,100,5.12,IN,2024-08-28
203,island harbour,50.724,-1.2758,17.180000000000007,62,96,2.24,GB,2024-08-28
204,pisco,-13.7,-76.2167,16.03000000000003,88,100,1.54,PE,2024-08-28
205,vilyuchinsk,52.9306,158.4028,24.150000000000034,70,100,4.96,RU,2024-08-28
206,kruisfontein,-34.0033,24.7314,7.410000000000025,69,64,12.08,ZA,2024-08-28
207,flying fish cove,-10.4217,105.6791,26.82000000000005,73,75,7.72,CX,2024-08-28
208,mlawa,53.1128,20.3841,16.720000000000027,60,0,3.98,PL,2024-08-28
209,mashhad,36.297,59.6062,26.08000000000004,53,40,5.14,IR,2024-08-28
210,port alfred,-33.5906,26.891,10.660000000000025,81,70,2.24,ZA,2024-08-28
211,caucete,-31.6518,-68.2811,11.230000000000018,40,59,1.52,AR,2024-08-28
212,dadukou,26.5479,101.7054,31.890000000000043,51,20,0.98,CN,2024-08-28
213,arteche,12.2645,125.4048,31.57000000000005,67,83,1.62,PH,2024-08-28
214,aasiaat,68.7098,-52.8699,1.1400000000000432,92,100,3.69,GL,2024-08-28
215,tofol,5.3248,163.0078,27.879999999999995,83,100,4.44,FM,2024-08-28
216,sur,22.5667,59.5289,36.22000000000003,39,58,1.96,OM,2024-08-28
217,karema,-6.8205,30.4389,24.77000000000004,52,20,2.94,TZ,2024-08-28
218,watford city,47.8022,-103.2832,15.810000000000002,67,0,5.66,US,2024-08-28
219,porto novo,6.4965,2.6036,24.900000000000034,94,79,2.18,BJ,2024-08-28
220,keflavik,64.0049,-22.5624,8.240000000000009,87,0,4.63,IS,2024-08-28
221,mirzapur,25.15,82.5833,28.730000000000018,70,100,0.84,IN,2024-08-28
222,phan thiet,10.9333,108.1,32.14000000000004,59,83,6.88,VN,2024-08-28
223,polyarnyy,69.1989,33.4478,11.830000000000041,71,77,12.33,RU,2024-08-28
224,margate,51.3813,1.3862,15.939999999999998,88,40,3.57,GB,2024-08-28
225,tenno,39.9,139.9667,25.850000000000023,67,100,4.91,JP,2024-08-28
226,tateyama,34.9833,139.8667,28.160000000000025,78,40,4.09,JP,2024-08-28
227,n'zeto,-7.2312,12.8666,20.970000000000027,89,85,1.53,AO,2024-08-28
228,siwa oasis,29.2041,25.5195,28.890000000000043,46,0,3.44,EG,2024-08-28
229,kodiak,57.79,-152.4072,11.730000000000018,71,100,5.66,US,2024-08-28
230,kourou,5.1552,-52.6478,23.510000000000048,94,74,1.0,GF,2024-08-28
231,bataipora,-22.2953,-53.2711,14.360000000000014,34,3,2.93,BR,2024-08-28
232,hermanus,-34.4187,19.2345,5.4500000000000455,68,100,9.84,ZA,2024-08-28
233,east ballina,-28.8667,153.5833,27.77000000000004,51,0,5.05,AU,2024-08-28
234,dhankuta,26.9833,87.3333,24.810000000000002,74,45,2.4,NP,2024-08-28
235,vardenis,40.1827,45.7311,17.99000000000001,53,0,5.36,AM,2024-08-28
236,lihue,21.9789,-159.3672,25.77000000000004,75,20,6.17,US,2024-08-28
237,yuzhno-kurilsk,44.0306,145.8556,18.910000000000025,98,100,0.83,RU,2024-08-28
238,key largo,25.0865,-80.4473,28.890000000000043,64,49,6.02,US,2024-08-28
239,greymouth,-42.4667,171.2,11.78000000000003,86,100,2.75,NZ,2024-08-28
240,chauk,20.8833,94.8167,31.129999999999995,64,73,4.93,MM,2024-08-28
241,laguna,38.421,-121.4238,27.75,37,0,3.09,US,2024-08-28
242,jaicos,-7.3592,-41.1378,23.100000000000023,63,76,5.36,BR,2024-08-28
243,remire-montjoly,4.9167,-52.2667,23.02000000000004,100,75,1.54,GF,2024-08-28
244,muynoq,43.7683,59.0214,23.650000000000034,46,0,9.13,UZ,2024-08-28
245,al hazm,16.1641,44.7769,28.900000000000034,41,100,2.52,YE,2024-08-28
246,praya,14.9215,-23.5087,26.30000000000001,83,75,2.06,CV,2024-08-28
247,ashburton,-37.8626,145.0794,16.400000000000034,36,93,9.97,AU,2024-08-28
248,ust-tsilma,65.441,52.1498,17.260000000000048,57,39,3.96,RU,2024-08-28
249,iskateley,67.6803,53.1512,14.550000000000011,63,14,8.37,RU,2024-08-28
250,isangel,-19.55,169.2667,26.060000000000002,53,75,3.6,VU,2024-08-28
251,huimanguillo,17.85,-93.3833,24.450000000000045,94,76,1.7,MX,2024-08-28
252,kushiro,42.975,144.3747,23.53000000000003,83,75,1.54,JP,2024-08-28
